FrameIndex,VisualStim,Stim0,Stim1,Position_X,Position_Y,Speed,Motion,Layer1,Layer1_Denoised,Layer2,Layer2_Denoised,Resistant,Resistant_Denoised,Behavior,Behavior_Denoised
466,0,0,0,22.97835588,25.64388783,6.17,1,Layer1_Walk,,Layer2_Walk,,,,Walk,Noisy
467,0,0,0,23.00783337,25.4980977,8.92,1,Layer1_Walk,,Layer2_Walk,,,,Walk,Noisy
468,0,0,0,23.039680110000003,25.50727263,1.99,1,Layer1_Stationary,,Layer2_Walk,,,,Walk,Noisy
469,0,0,0,23.07931065,25.29844074,12.75,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
470,0,0,0,23.0953467,25.04775255,15.07,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
471,0,0,0,23.08487535,24.85519857,11.57,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
472,0,0,0,23.16342651,24.75848079,7.48,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
473,0,0,0,23.19772482,24.74494233,2.21,1,Layer1_Stationary,,Layer2_Walk,,,,Walk,Noisy
474,0,0,0,23.1640023,24.71187339,2.83,1,Layer1_Stationary,,Layer2_Walk,,,,Walk,Noisy
475,0,0,0,23.15772951,24.619347,5.56,1,Layer1_Walk,,Layer2_Walk,,,,Walk,Noisy
476,0,0,0,23.176485300000003,24.55594272,3.97,1,Layer1_Stationary,,Layer2_Walk,,,,Walk,Noisy
477,0,0,0,23.16686868,24.39695835,9.56,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
478,0,0,0,23.20016385,24.24938814,9.08,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
479,0,0,0,23.35538865,24.05965806,14.71,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
480,0,0,0,23.50813509,23.82663711,16.72,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
481,0,0,0,23.56005192,23.67287145,9.74,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
482,0,0,0,23.60946714,23.55121896,7.88,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
483,0,0,0,23.650519260000003,23.49847824,4.01,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
